PIN,complete,date,calendar_time,timestamp,location,commit,version,stage,width,height,event_type,x,y,coordinates_details
'00001',y,28-12-2020,11:30:31,1939,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,544,513,background
'00001',y,28-12-2020,11:30:31,1954,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,545,520,background
'00001',y,28-12-2020,11:30:31,1970,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,553,533,background
'00001',y,28-12-2020,11:30:31,1987,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,567,548,background
'00001',y,28-12-2020,11:30:31,2007,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,597,581,background
'00001',y,28-12-2020,11:30:31,2020,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,623,607,background
'00001',y,28-12-2020,11:30:31,2037,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,640,614,background
'00001',y,28-12-2020,11:30:31,2054,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,650,614,background
'00001',y,28-12-2020,11:30:31,2070,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,658,599,background
'00001',y,28-12-2020,11:30:31,2087,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,664,570,background
'00001',y,28-12-2020,11:30:31,2104,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,664,541,background
'00001',y,28-12-2020,11:30:31,2120,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,663,508,background
'00001',y,28-12-2020,11:30:31,2137,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,482,background
'00001',y,28-12-2020,11:30:31,2154,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,456,background
'00001',y,28-12-2020,11:30:31,2170,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,443,background
'00001',y,28-12-2020,11:30:31,2194,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,430,background
'00001',y,28-12-2020,11:30:31,2203,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,425,background
'00001',y,28-12-2020,11:30:31,2221,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,416,background
'00001',y,28-12-2020,11:30:31,2237,Australia,cc7717a,J,key_testing,1707,813,Cursor hover,661,407,background
